新花样！当灾难片遇上政治惊悚元素 《全球风暴》警示：天灾远不如人祸可怕,时光网,2017-10-23 10:53:47 	,"《2012》直接把整个地球都清洗了一遍，这后来的灾难片无从下手了。《全球风暴》终于找到了一个全新的切入点……
灾难片玩出新花样　　时光网讯 科幻灾难电影《全球风暴》为那种让人倍感熟悉、老生常谈的角色和剧情内容，加入了一点点独创性，创造出了一部对观众友好的主流动作冒险电影，让人看的时候不用动什么脑子，纯消遣娱乐是足够了。影片的特效制作水准过关，不过因为导演是编剧出身，所以故事情节把控更强。　　灾难片大家都看不过不少了，从《龙卷风》到《后天》到《2012》，地球遭受了多次重创。灾难片是从环境入手，显然都带有宣传环保的主题，肆意破坏环境只会自食其果。《2012》直接把整个地球都清洗了一遍，这后来的灾难片无从下手了。《全球风暴》终于找到了一个全新的切入点，那就是人类发明了控制天气的卫星，但这样的高科技被心怀鬼胎的坏人利用，从而在地球和宇宙空间打响了一场“地球保卫战”。　　《全球风暴》最明智的地方就是加入了政治惊悚片的元素，美国政府高层的勾心斗角牵扯到上亿人的生命，这样的设定在灾难片中是很少见的，而且谁是幕后真凶也成为一个悬念，吸引观众跟随着主人公一路揭秘。　　影片故事集中在杰克·劳森（杰拉德·巴特勒饰）身上，他是一位有热情有智慧，但顽固不化的科学家。在几次自然灾害严重侵袭地球之后，杰克组织了一个拥有来自18国成员的小团队，创造了一系列可以控制环境的卫星，它们通俗地被称为“荷兰男孩”（Dutch Boy），这些卫星可以预防极端天气的发生。定档中文预告片　　因不服从组织安排，杰克被开除出了这个项目。几年后，他在美国国防部工作的弟弟麦克斯（吉姆·斯特吉斯饰）让杰克重回这个项目，因为在全球不同地方，一系列“事故”导致了非比寻常的天气情况，地球上灾难重重。当杰克被送回“荷兰男孩”所在的国际气候空间站（ICSS）之后，他发现自己发明的这个系统并没有出错，而是被当成了武器，还把这一系列恶意行动伪装成了故障。　　到底是谁在幕后操纵这些事情，毁灭地球又对谁有好处呢？仔细分析起来，这样的幕后黑手显然是要美国政府高层才够级别，普通人和商业集团很难触及这样的航天科技，并且也没必要去做毁天灭地的事情。　　影片是迪安·德夫林的导演处女作品，在上世纪90年代，迪安作为编剧，与出生于德国的导演罗兰·艾默里奇合作了四部影片——《再造战士》、《宇宙奇兵》、《独立日》与《哥斯拉》。不管观众对它们是爱还是恨，这些影片都在全球票房榜与流行文化时代精神中，留下了浓墨重彩的一笔。《全球风暴》的商业成功程度达不到上述几部电影的高度，但它自成一体，成为了当下大银幕上让人过目就忘的娱乐消费作品，也是我们这个焦虑时代的缩影。吴彦祖在《全球风暴》中出演了重要角色　　《全球风暴》中来自不同国家的卡司阵容，让影片的多样化既接地气又真实，亚历山德拉·玛丽亚·拉那（罗马尼亚）、艾赫尼奥·德伯兹（墨西哥）、阿莫尔·瓦科德（埃及）与阿德佩罗·奥杜耶（尼日利亚）都是国际气候空间站的成员，而吴彦祖作为“荷兰男孩”项目在香港的监管员，拥有着虽小却很重要的角色。如果说解开影片的中心谜团（到底谁把“荷兰男孩”武器化了，为什么？）并不是很难，《全球风暴》的优势是至少面对了社会对于人类和环境间关系，日益增长的忧虑。值得注意的是，对于兄弟关系和父女关系的解读，影片既独特又有趣，颠覆了人们对于电影中传统关系的期待。在片中，哥哥才是不负责任的那一个，他在慢慢学习着信任弟弟，和弟弟一起工作的过程中，更好地找到了自己的价值。　　《全球风暴》作为娱乐大片，会给人忘却烦恼的观影体验。如果迪安能把自己设计的毁灭地球场景，超越了技术执行方面（影片特效还可以，没什么开创性的，但还是有些让人印象深刻的镜头），他依然可以展示出，在引人入胜的结构和剧情方面，自己依然是一位有天赋的编剧。               （更专业的影视媒体，更全面的票务周边服务，尽在时光网）　"
"露皮塔·尼永奥曾屡次遭韦恩斯坦骚扰 奥斯卡得主发文谴责 呼吁不再""保持缄默""",时光网,2017-10-20 17:03:52 	,"露皮塔·尼永奥在《纽约时报》撰文，详细披露了与哈维·韦恩斯坦长达数年的不愉快“交手”经历。
（本文来自影视生活第一站 时光网）奥斯卡最佳女配得主露皮塔尼永奥　　时光网讯 今日，又一位哈维·韦恩斯坦性骚扰受害者勇敢发声。凭借在《为奴十二年》中出色演出获得奥斯卡最佳女配小金人的女星露皮塔·尼永奥在《纽约时报》撰文，详细披露了与哈维·韦恩斯坦长达数年的不愉快“交手”经历。　　露皮塔称，两人初次见面是2011年，当时她还是耶鲁大学的一名在校生。韦恩斯坦邀露皮塔到餐厅午餐、再到他家看试片。午餐时，韦恩斯坦坚持当时默默无名的露皮塔一定要点含酒精饮料，再三推辞之下才怒气冲冲地作罢。到韦恩斯坦家之后，他召集了家里所有的人，包括他年幼的小孩，一起到客厅看电影。　　只是影片才播放了15分钟，韦恩斯坦就要求露皮塔跟他去房间“讨论工作”。露皮塔心生疑虑，但为了工作机会还是硬着头皮来到主人卧房。结果韦恩斯坦一开口就是要替她按摩；为了掌握主动权，露皮塔要求替他按摩，她解释道：“这样至少我知道他的手摆在哪。”没一会儿，韦恩斯坦突然说要脱掉裤子，开始觉得不对劲的露皮塔边说自己对这个举动很不舒服边夺门而出。露皮塔屡次遭到骚扰后决意不再与韦恩斯坦合作　　之后，不死心的韦恩斯坦又再次邀请露皮塔共进晚餐，坐一下就开门见山地说：“让我们直接切入正题，我在这楼上有个私人房间，我们可以到那裡吃完这顿饭。”露皮塔整个人惊呆并告诉他自己宁愿在餐厅吃饭，“他告诉我别那么天真。如果我想要成为女演员，那么我必须愿意做这类的事。他还跟我说，自己曾经睡过女星Ｘ和Ｙ，要我看看人家现在的成就。”　　露皮塔还是拒绝了韦恩斯坦。三年后，露皮塔以新秀之姿拿下奥斯卡小金人，一次偶遇，韦恩斯坦居然说他很惊讶露皮塔发展得这么快又成功，还说将来一定要合作；之后也真的提供了一部片的某个小角色给露皮塔，但就跟安吉丽娜朱莉一样，露皮塔早已决意与之划清界限。露皮塔呼吁不要再对性骚扰保持沉默　　露皮塔·尼永奥坦言，自己当年初入行，还不知如何处理这样的“意外事件”，也没有人可以倾诉：“虽然韦恩斯坦的不得体的做法让我感到很不舒服，但并没有太过分，所以我只能安慰自己这样的事情避免不了，这只是一次尴尬的经历罢了。”　　露皮塔感谢了那些第一批挺身而出勇敢发声女性，并呼吁道：“现在我们站出来了，以后对这样的事情永远不要闭口不谈。我说出自己的经历就是为了确保不再让这样的不端行径发生。我希望结束那些为了自己的利益而保持缄默的密约。”（更专业的影视媒体，更全面的票务周边服务，尽在时光网）"
张艾嘉携《相爱相亲》亮相釜山影展 主演田壮壮五音不全唱《花房姑娘》成亮点,时光网,2017-10-20 21:30:28 	,"张艾嘉携自导自演的新片《相爱相亲》亮相釜山电影节，被问及首次触电担纲主演，田壮壮幽默称“被张艾嘉盯上的人她都不会轻易放过”，而他片中演唱一首崔健的《花房姑娘》也成为一大亮点。
        时光网讯  由张艾嘉执导并主演的电影《相爱相亲》将于11月3日全国上映，今日，该片在第22届釜山电影节举办官方新闻发布会，张艾嘉携主演田壮壮出席。影片温暖故事引发韩国媒体共鸣，对此张艾嘉表示自己在创作时主要参考生活，“我个性很好奇，喜欢观察别人，会站在别人的立场去思考”。        被问及首次触电担纲主演，田壮壮幽默称“被张艾嘉盯上的人她都不会轻易放过”。而他片中演唱一首崔健的《花房姑娘》也成为一大亮点，令许多韩国媒体更加熟悉崔健，张艾嘉表示“崔健很少有这样深情的歌，是属于我们的歌”。影片不仅受到众多韩国媒体的关注，在此前国内多地的提前观影活动中，影片也收获众多好评。        此次是张艾嘉第二次来到釜山电影节，张艾嘉称“这是很好的平台，我们心存感激”，现场张艾嘉和田壮壮还向釜山前副主席、首席选片人金智奭表达敬意。有韩国媒体提及，《相爱相亲》中的故事让他很有共鸣，对此，张艾嘉表示剧本来自于真实生活，“其实亚洲很多家庭都很相像，剧本最早来自于另一位编剧游晓颖自己家里的故事，创作时我会参考生活上的资料，我很好奇，喜欢观察别人，站在别人的立场去想他们怎么说怎么做。”。       导演还透露最初也曾担心如何做到接地气，“我们拍的是人和人的故事，每个细节都是挑战，所以团队做了很多功课。”谈到创作初衷时，张艾嘉称“爱是一门大家都不在意的学问，但却是最难的，沟通是非常重要的。”        田壮壮在片中饰演张艾嘉的丈夫，被问及这次出演的原因，田壮壮笑称“被张艾嘉盯上的人她是不会轻易放过的”、田壮壮直言唱歌是自己的短板，“因为五音不全所以从不唱歌，在拍摄之前自己很紧张，每天都听《花房姑娘》这首歌，听了有上千次。”        被问及为何选择这首歌，张艾嘉称，“崔健的歌是我们那个年代少数听过的爱情歌曲，崔健很少有这么深情的情歌。这是代表片中父母也曾经年轻，有过爱情、有过冲动、有过承诺的，是一首我们的歌”。谈及片中的角色，田壮壮表示希望这个角色能够影响中国的父亲，“当生活中有摩擦的时候，需要有人当爱的沟通桥梁。”张艾嘉则评价称“他让我有心安和熟悉的感觉，他演的很自然，我们在一起就很有说服力，会很快进入角色”。        明日，《相爱相亲》也将在釜山电影节闭幕式上放映。电影《相爱相亲》将于11月3日在全国公映。   编辑：隐饮"
《正义联盟》海王新照蓄势待发 水中游动宛如炮弹 劲敌当前怒火满腔,时光网,2017-10-21 08:55:40 	,"海王版饰演者杰森·莫玛头发飘逸，怒视前方，双手紧握拳头蓄势待发，估计下一秒就会把劲敌打得落花流水。
（本文来自影视生活第一站 时光网）《正义联盟》海王新照　　时光网讯 华纳超级英雄大片《正义联盟》日前发布一张新剧照，海王在水中游动宛如炮弹，充满着速度感与力量感。海王版饰演者杰森·莫玛头发飘逸，怒视前方，双手紧握拳头蓄势待发，估计下一秒就会把劲敌打得落花流水。《正义联盟》海王角色特辑　　《正义联盟》的剧情承接《蝙蝠侠大战超人：正义黎明》的结局，在对人类人性的信心恢复以及超人无私奉献的感召下，蝙蝠侠为了抵挡即将危及人类的威胁，接受了新盟友神奇女侠的帮助，他们一起寻找并组建了一支由超人类组成的联盟——正义联盟来对抗反派。　　《正义联盟》由“蝙蝠侠”本·阿弗莱克、“神奇女侠”盖尔·加朵、“超人”亨利·卡维尔、“海王”杰森·莫玛、“闪电侠”埃兹拉·米勒与“钢骨”雷·费舍等联合主演。扎克·施耐德执导，《复仇者联盟》系列导演乔斯·韦登加盟后期部分工作，该片将于11月17日登陆中国内地院线。 （更专业的影视媒体，更全面的票务周边服务，尽在时光网）"
他是现代好莱坞的代名词 纪录片《斯皮尔伯格》为你挖掘大师的秘密,时光网,2017-10-21 09:06:21 	,"斯皮尔伯格的所有作品，都与他的两个家庭不可分离——私人家庭以及工作团队的“家庭”。他的作品是自我为中心的，同时又是普罗大众的。
　　时光网特稿 1994年3月21日，第66届奥斯卡颁奖典礼在洛杉矶音乐中心举行。斯皮尔伯格第一次登上奥斯卡领奖台，从比他高一头的克林特·伊斯特伍德手上接过最佳导演奖的小金人。他看看小金人，又看看台下的观众，看出来心里有些紧张，甚至在发表感言的时候还有点结巴。1994年斯皮尔伯格获最佳导演　　那年斯皮尔伯格48岁，对于一个受到奥斯卡肯定的导演来说，当然不算大，但也不年轻了，他无论是面容和举止都依旧像一个稚气未脱的孩子。那一晚，《辛德勒名单》拿下包括最佳导演和最佳影片在内的七座小金人，《侏罗纪公园》拿下三座，那是个属于斯皮尔伯格的夜晚。纪录片《斯皮尔伯格》海报　　在1993年同一年内，《侏罗纪公园》和《辛德勒名单》相继上映，前者作为商业电影获得巨大的票房成功（当年全球票房冠军）后者作为严肃电影获得奥斯卡的肯定。这在好莱坞历史上非常罕见，23年过去，仍无另外一位导演重复这样的壮举。      据说斯皮尔伯格在1992年先拍完了《侏罗纪公园》，他在欧洲拍摄《辛德勒名单》的时候，晚上还得抽出时间剪辑《侏罗纪公园》。自此，斯皮尔伯格在商业和严肃电影两个领域都得到了最高认可，并且玩得游刃有余。　　面对史蒂文·斯皮尔伯格这样一位深刻影响并塑造了现代好莱坞的导演，任何理解和剖析的尝试都容易让影迷不能满足，HBO本月初推出的纪录片《斯皮尔伯格》同样如此。     然而本片依旧提供了一些新鲜的视角来帮助理解这位电影大师，尤其是他的家庭对他创作的影响——既有狭义上的个人家庭，也指围绕着他的、对于他的成功来说不可或缺的工作“家庭”成员们。"
《至暗时刻》发角色海报众星云集 群戏亮眼 加里·奥德曼剑指奥斯卡影帝,时光网,2017-10-21 09:37:56 	,"克里斯汀·斯科特·托马斯饰演的丘吉尔夫人、本·门德尔森饰演的国王乔治六世、斯蒂芬·迪兰饰演的政敌哈利法克斯勋爵、莉莉·詹姆斯饰演的打字员伊丽莎白悉数亮相。
（本文来自影视生活第一站 时光网）　　时光网讯 由《赎罪》导演乔·赖特执导、加里·奥德曼剑指奥斯卡影帝的传记片《至暗时刻》今日曝光一批角色海报，除了加里·奥德曼饰演的英国首相丘吉尔，克里斯汀·斯科特·托马斯饰演的丘吉尔妻子、本·门德尔森饰演的国王乔治六世、斯蒂芬·迪兰饰演的政敌哈利法克斯勋爵、莉莉·詹姆斯饰演的打字员伊丽莎白悉数亮相。《至暗时刻》预告片　　丘吉尔可是个让人敬畏的角色，作为英国最负盛名的首相之一，他在二战早期时就承担下了“要么和纳粹德国谈判和平协议，要么为了国家的理想和自由而斗争”的责任，什么都会演、什么也都敢演的加里·奥德曼，这次的扮相简直是脱胎换骨，与首相几乎是神同步。克里斯汀·斯科特·托马斯在这部历史片中饰演丘吉尔的妻子克莱门汀（也是个会玩的狠角色）；本·门德尔森饰演的是国王乔治六世（《国王的演讲》中口吃的那位），他在重重纷争之时坚持留在白金汉宫，即使是德国飞机不停轰炸伦敦时也不曾动摇。斯蒂芬·迪兰饰演的哈利法克斯勋爵主张对德国实行绥靖政策，则是丘吉尔政坛上的主要竞争对手。　　《至暗时刻》以二战为故事背景，但并非传统意义上的战争片，里面没有宏大的战斗场面，但电影中每一个决策对于那场战争来说都至关重要，而决策背后所承载的复杂情感也是影片要集中表现的。从影片的先期影评来看，加里·奥德曼还原度极高的表演足够让他站上今年最佳男演员的领奖台。　　《至暗时刻》将于11月22日在美国公映。（更专业的影视媒体，更全面的票务周边服务，尽在时光网）   编辑：边界"
好莱坞巨星哈里森福特独家专访 “我当时迫不及待想回到《银翼杀手》”,时光网,2017-10-21 10:12:08 	,"哈里森·福特，好莱坞顶级男星，代表作包括《星球大战》、《夺宝奇兵》、《亡命天涯》等等，直到今天仍是好莱坞当红男星，对于他即将上映的《银翼杀手2049》，他有很多话和我们说。
巨星哈里森·福特（本文来自影视生活第一站 时光网）　　时光网洛杉矶讯 曾经有美国媒体这样评价哈里森·福特：“如果你想知道什么是电影明星，那就去看看哈里森·福特。”谁能想象，这位一度是全球票房收入最高的顶级好莱坞男星，在1970年代初在好莱坞是以木匠为主业，当时他因为演的都是小角色，入不敷出，演戏成了业余爱好了。直到他遇见了乔治·卢卡斯，出演了《美国风情画》，然后又是《星球大战》、《夺宝奇兵》……好莱坞传奇巨星就此诞生。　　大多数演员，在他们极其幸运的前提下，或许才会在自己的职业生涯中抓住一次机会扮演一个被观众们所喜爱的角色。然而，哈里森·福特做到了多次。这不仅仅是反映了他在演戏方面的天赋，也体现出了他在观众心里的好人缘。　　哈里森·福特最有名的角色自然是《星球大战》系列中的韩·索罗一角，以及《夺宝奇兵》系列中的男主角印第安那·琼斯。除此以外，他还主演过1992年《爱国者游戏》的中情局特工杰克·雷恩，1994年又在续集《燃眉追击》中再次饰演了这一角色。今年， 在丹尼斯·维伦纽瓦执导的科幻片《银翼杀手2049》中，福特回归饰演了他于1982年《银翼杀手》中饰演过的的角色瑞克·戴克。　　近日在洛杉矶，时光网有机会与这位75岁的老戏骨聊了聊他的新作品以及他对飞行的热爱等有趣话题。Mtime：这部影片主要是讲的记忆是如何对人产生影响，甚至影响我们的未来。你的现实生活中是否也有一段特别的童年记忆一直伴随着你，影响到你整个人？哈里森·福特：我印象很深的一件事是我姑妈在我很小的时候……等等，让我算一下，好像是三岁的时候，我姑妈进来我房间，告诉我我有一个兄弟。所以从那一刻开始，我的生命中就多了一个兄弟，不只是一个兄弟这么简单，是“我的”兄弟。Mtime：再重复一次，因为《银翼杀手2049》本质上就是在讲“记忆”，那有哪些你对1982年那版影片的记忆是你至今都记着的呢？哈里森·福特：我真的很感激能有一个改编的机会让我重新演绎之前这一角色，也很感激过去的这30年能被放到新的故事中。我很开心影片能讲述这样一个有着深刻情绪的故事，里面所有的景象都有着史诗般的规模，同时又展现了人类无限的思绪，这是影片的重要标志之一。对，我这里用的词是“人类”。《银翼杀手》的故事很复杂，很丰富，作为一个演员，能将这些展现给观众是一件很荣幸的事。Mtime：你提到了这部电影史诗般的规模，这一点是你在拍摄前与维伦纽瓦和斯科特（电影制作人之一）先期讨论剧本时的重要部分吗？哈里森·福特：当然。我们做的就像是将一个小剧本制成大场面，因为它是关于对未来的想象，确实有一些天马行空的东西来里面。并且这些恢弘的事物有时并不处于故事框架的中心，而是在一些边缘性的位置。我的意思是说，我们并不会特意去刻画这些事物，但它们在视觉上一直存在着。故事还有一个特点就是对人类精神层面的探索，人性中都有着渴望正义与不屈不挠的精神。这不是一部扎着蝴蝶结的漂亮电影，它是一个很严肃的调查，一个挖掘真相的故事，但它也是一场精神之旅——它有棱有角，描绘了高尚的人类情感，没有那么多矫揉造作的东西在里面。哈里森·福特在《银翼杀手2049》中的出场镜头Mtime：听起来你在这部影片中的经历让你对电影有了一些更高的目标。哈里森·福特：我觉得能得到一些不一样的心理体验是对演员的机遇，同时也是对观众的机遇。它有点像是一场心理锻炼，在几个小时中，置身于一间暗屋子里，让一个很棒的故事给你带来一场听觉上的冒险。你被一群陌生人包围着，一起观看同样的故事，感受同样的心理，体会同样的人性。这就是我们为什么会讲这个故事，因为这些故事可以解释人与人之间的责任。Mtime：这部电影里有着很多强大的女性角色，比如西尔维娅·侯克斯、安娜·德·阿玛斯、罗宾·莱特、麦肯兹·戴维斯等等这些人扮演的人物。哈里森·福特：关于这些强大的女性角色，本身在我们身处的现实世界中就是这样的，电影中展现不同种类的女性关系是为了更深层地去刻画现实。能与这些优秀的女演员一起搭档拍戏是一件很棒的事，有她们在这部戏里，对理解《银翼杀手》的世界有着很大的帮助。Mtime：《银翼杀手2049》并不是一部动作片，但依然有着出色的追逐和打斗戏份。现在这钟戏份对你来说难不难，还是说你会借用这些戏份来保持身体的状态，你享受这部分吗？哈里森·福特：你知道的，对于这部影片我是迫不及待想要回归的，能在里面保持一些能量感很不错，我不介意。我喜欢这些动作戏，一直都是。Mtime：在旧版本的影片中，里面对环境退化和人工智能的看法在很多方面都是有先见之明的，这次的影片中，是否也有类似具有前瞻性的主题或元素呢？哈里森·福特：我想我知道你指的是什么，并且我想避开讨论这件事情，因为这有点剧透了。不过借此机会，我想提醒一下没有看过影片的观众，里面被我们称作“复制人”的东西并不是机器人什么的，这是一种在生物学上无法与我们区分开的东西。能区别人与“复制人”的方式是看他们诞生的方式，他们都是在实验室长大或者在医疗器械厂被制造出来，是有归属权的财产、商品。这是我们在第一部电影中唯一用科学设定出来的东西，并且已经被证明是有可能实现的。我们现在知道，凭借我们对DNA的理解和剪接基因的方法，我们有能力在培养皿中培育出人类生命，但出于人道方面的原因我们不被允许这么做，人之所以为人就是因为人性，在科学中这也是重要的因素。两代银翼杀手Mtime：我最近和连姆·尼森交谈过，他说他不久之后想从动作片领域退休了。但是，根据你接下来的作品来看，你似乎还在继续拍这样的作品。哈里森·福特：不，不是所有的都是动作片。我对各种不同类型的片子都有兴趣，你指的可能是《夺宝奇兵5》，但我不认为这是一部动作冒险片，《夺宝奇兵5》里面有很多东西，并不只是动作戏。我对所有类型的戏都感兴趣，很严肃的正剧也是其中一项。所以如果你想看我演这种类型的戏，接下来的四个月就是了，也有可能是六个月，我甚至希望可以更长一点。总得来说，我不是一个怀旧的人，虽然我很情绪化，但我并不会坐在这里希望自己可以回到从前，相反，我很开心自己此时此刻在这里。中文版剧场预告片Mtime：你已经在洛杉矶拍了几部电影，《银翼杀手2049》和它的前作都是在这里。你最喜欢这个城市的哪些景点呢，你希望这座城市在2049年的时候可以是什么样子的？哈里森·福特：谢谢你的问题，我最喜欢这座城市的地方是家，所以我希望到时候这座城市中那些无家可归的人可以得到妥善的安置，有更公平的分配机会，并且我们也没有破坏环境。Mtime：讲到环境，这部影片里显然已经解决了环境恶化污染的问题，并且据我所知你已经多年奋斗在为解决环境问题筹集善款的工作上了。哈里森·福特：是的，我已经从事这项工作很长时间了。我认为我的组织在保护自然这方面做的非常成功，无论是为了环境本身，还是最终为了人类的利益。我们不能生活在没有自然环境的世界上，大自然可以没有我们，但我们不能离开大自然。再说回这部影片， 环境问题也是它的一部分，但它并不是一部环境宣传片，它只是包含了所有对未来的想象，其中一部分涉及到未来的环境。Mtime：你已经成名很久了，你认为名望会使得你难以分清什么是真实，什么不是吗？哈里森·福特：不，这只是一个帮助你认清自己的机会。Mtime：你通过成名认清了自己的哪些方面呢？哈里森·福特：我意思是说这是一个合适的方法，但这并不关你自己的事。这次哈里森·福特回归，合作的都是年轻演员Mtime：如果年轻演员和你一起共戏的时候感到紧张，你会告诉他们什么？哈里森·福特：我只会告诉他们让自己变得有所帮助。我曾经在迈克·尼科尔斯那里得到过一个很好的建议，他是一个很棒的人，风趣幽默，充满智慧。他说：“别让人们把你当成一件摆设。”我不会对此做过多的解释，因为每个人都可以从中思考更多。Mtime：你对航行有着一生的爱好，你还会继续做这件事吗？哈里森·福特：我只会开着飞机去拍电影，不过确实我热爱飞行，这是我生命中一个重要的部分，我爱它因为它具有挑战性，我爱自由与责任。我深知它在科技方面带给我们的东西，以及它如何让这个世界变得更加广阔。Photo courtesy of Hollywood Foreign Press Association / Magnus Sundholm"
“小丑女”罗比冲奥力作首发预告 《我，塔尼娅》饰花滑选手形象改变极大,时光网,2017-10-20 08:31:43 	,"“小丑女”玛歌特·罗比主演的传记片《我，塔尼娅》发布首支预告，罗比造型改变巨大，饰演美国滑冰界著名丑闻的女主角托尼亚·哈丁。
（本文来自影视生活第一站 时光网）    　　时光网讯 “小丑女”玛歌特·罗比主演的传记片《我，塔尼娅》发布首支预告。罗比饰演的花样滑冰选手托尼亚·哈丁造型首度曝光，滑冰姿态相当专业。《自杀小队》中的罗比　　《我，塔尼娅》讲述的是上世纪九十年代美国滑冰界的著名丑闻。托尼亚·哈丁是一位来自底层、但通过自己努力获得成功的美国花样滑冰选手，也是女子滑冰史上第二位、美国第一位在比赛中完成三周半跳的运动员。　　1994年冬奥会前夕，哈丁当时的丈夫杰夫·吉路雷（塞巴斯蒂安·斯坦饰）袭击了另一位美国花滑选手南茜·克里根（卡特琳·卡弗饰），后者的膝盖受伤。杰夫·吉路雷被捕后表示是哈丁指使他做出此事，但哈丁否认了这一说法。现实原型哈丁　　南茜·克里根与托尼亚·哈丁最终都参加了1994年冬奥会，受伤后的克里跟仍旧赢得了银牌，而哈丁则因失误仅获得了第八名。哈丁最后以包庇罪犯的罪名被法院处以3年缓刑、500小时社区服务与16万美元的罚款，并被取消1994年美国花样滑冰锦标赛女子单人花样滑冰金牌的资格。由于此事件，托尼亚·哈丁不仅就此告别冰坛，给美国大众也留下了臭名昭著的形象。　　此前时光网记者撰写的独家影评曾评价道：　　“电影的亮点在于让观众了解新闻报导和电视采访背后的真相。电影向观众展现了一位被母亲（阿丽森·詹尼饰）威胁，草率嫁给第一任男友杰夫·吉路雷的年轻女性。吉勒斯佩很细致地刻画了杰夫·吉路雷与哈丁之间的暴力关系。”　　并夸赞了罗比的演技和努力:　　“罗比演技精湛，为了更好地拍摄电影还花了数月时间练习滑冰技巧。显然，所有的努力都有了回报。”(全文链接http://news.mtime.com/2017/09/13/1573573.html）　　《好莱坞报道者》甚至称，这部电影可能会迫使美国人民对托尼亚·哈丁改观。　　该片由克雷格·吉勒斯佩（《充气娃娃之恋》）执导，米拉麦克斯影业发行。剧本由《附注：我爱你》编剧斯蒂芬·罗杰斯撰写，入选2016年好莱坞剧本黑名单。该片曾于今年多伦多电影节期间首映，获得一众好评；正式公映时间尚未确定，是冲击2018年奥斯卡的力作之一。（更专业的影视媒体，更全面的票务周边服务，尽在时光网）"
《全球风暴》洛杉矶首映主创齐聚 主演杰拉德巴特勒透露：拍摄经历十分疯狂,时光网,2017-10-17 20:55:15 	,"《全球风暴》洛杉矶首映主创齐聚红毯，接受媒体采访，主演杰拉德·巴特勒透露：“这部电影拍起来很好玩，有动作戏，冒险戏，这段拍摄经历十分疯狂。”导演迪安·德夫林希望将灾难片拍出新意。
（本文来自影视生活第一站 时光网）       《全球风暴》10月27日中国上映时光网洛杉矶讯 10月16日，由华纳兄弟影片公司出品的2017年度灾难大片《全球风暴》，在洛杉矶举办全球首映礼，导演兼编剧迪安·德夫林，主演杰拉德·巴特勒、艾比·考尼什亮相红毯并接受时光网记者的专访，现场和观众分享了他们对影片的理解，以及拍摄的感受。       提到这部灾难大片《全球风暴》表现的主题，导演迪安·德夫林表示：“我们都看过不少灾难片，尤其是自然灾难片，我对卫星系统科技十分好奇，一旦我们干涉自然，造成非自然的灾难又会是什么样，这一主题让本片与众不同，让我们将灾难片拍出新意，这也是一个末日预言，告诉我们如果不及时解决我们自己造成的问题，这个世界将会怎样。”       主演杰拉德·巴特勒在接受采访时表示：“读到这个剧本的时候，我很高兴它关注全球变暖，关注我们的地球所面临的问题，为了解决这些问题，各国政府达成合作，打造出一个厉害的卫星系统来拯救地球，这个想法实在太棒太有趣了。我可以看着这个想法一点点拍出来，然后工具反过来会变成攻击我们的武器，也有危险，这些都是可能真实存在的，所以本片拍起来很好玩，有动作戏，冒险戏，还有视觉奇观，这段经历可以说是十分疯狂。”       《全球风暴》女主角艾比·考尼什透露：“我想拍一部大片很久了，这不仅是一部紧张刺激的大片，还有包括多名优秀演员在内的主创阵容，优秀的导演和很棒的制作团队，而且我很喜欢我饰演的这个女性角色。”（更专业的影视媒体，更全面的票务周边服务，尽在时光网）"
"巩俐确认加盟《英伦对决》导演新片 风格类似""尼基塔"" ""伸冤人""编剧操刀剧本",时光网,2017-10-14 09:42:11 	,"《阿娜》将是一部女性角色主导的动作惊悚片，风格类似吕克·贝松的《尼基塔》。
（本文来自影视生活第一站 时光网） 　　时光网讯 据美国媒体《综艺》消息：巩俐确认出山，加盟马丁·坎贝尔（《英伦对决》《007:大战皇家赌场》《007:黄金眼》）动作惊悚片《阿娜》（Ana，暂译）。马丁坎贝尔刚与成龙合作了《英伦对决》　　据悉，《阿娜》影片故事背景将设定在欧洲，风格类似吕克·贝松的《尼基塔》（巧的是，老吕的新片风格与之类似，甚至连片名《安娜》都差不多）。影片剧本由编剧理查德·温克(《伸冤人》《敢死队2》)打造，知名制片人亚瑟·萨科西安(《英伦对决》《尖峰时刻》)同吴征担任制片人，吴征也为该片注资。　　影片预计明年3月或4月开机。（更专业的影视媒体，更全面的票务周边服务，尽在时光网）"
